url_code,lure_maker_name_en,scraping_source_id,category_name_ja,lure_name_ja,lure_name_en,attached_hook_size_1,attached_hook_size_2,attached_hook_size_3,attached_hook_size_4,attached_hook_size_5,attached_ring_size,lure_buoyancy,lure_action,lure_length,lure_weight,lure_range_min,lure_range_max,lure_information,is_available
,ima,https://www.ima-ams.co.jp/product/products/detail/93,シンキングペンシル,アルデンテ 70S,Aldente 70S,#12,#12,,,,#2,Sinking,ゆらぎロールアクション,70,4,0,1,港湾部のバチパターン攻略に欠かす事のできなくなったAldente 95Sのダウンサイジングモデル。ただのダウンサイジングモデルではなく、中近距離戦に強く、足元までしっかり泳いでくれることで、バイトチャンスを逃しません。バチパターンにはもちろんのこと、マイクロベイトパターンにも有効で、春の港湾部最強ルアーです！,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/92,シンキングペンシル,アルデンテ 95S,Aldente 95S,#10,#10,,,,#2,Sinking,ゆらぎロールアクション,95,7.1,0,1,港湾バチパターン攻略の決定版、Aldente 95S。着水直後のリトリーブで急浮上し、サーフェイスレンジをキープします。揺れるような揺らぎアクションと僅かなV字引き波を発生させ、表層を意識しているシーバスに猛アピール！後方固定重心だから、飛距離性能も間違いなし！,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/78,シンキングミノー,イッセン 45S,issen 45S,#10,#10,,,,#1,Sinking,ひら打ちアクション,45,3.7,,,飛距離、スイムにもこだわり、テクニカルな渓流プラグゲームにおいて絶妙なバランスで最上の使用感を求めたissenシリーズ。複雑な速い流れから飛び出すことなく、ロッドアクションにレスポンスよく反応してトラウトの本能に訴える「ヒラ打ち」を得意とするミノーです。バラし軽減のフックセッティングissen 45S、大型狙いにはissen 45S MAXを。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/79,シンキングミノー,イッセン 45S MAX,issen 45S MAX,#14,#14,,,,#1,Sinking,ひら打ちアクション,45,4,,,その基本性能の高さゆえにissenは我々の想定以上の大物を呼び込んでしまうことが多々あります。そんな時、オリジナルの前後ローリングスイベル仕様では心許ないと感じることがあります。issen 45S MAXはそんな不意の大物にも動じない、エイトカン＋前後トリプルフックの完全大物仕様なのです。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/112,トップウォーター,エアコブラ 60,AIRACOBRA 60,#10,#10,,,,#2,Floating,スプラッシュ,60,7,0,0,クロダイ専用のポッパー。カップ形状にこだわり、音、泡、飛沫の猛烈なアピール力で広範囲に散らばったクロダイを引きよせます。特に有効なのは水面が波立ちアピールを強めたい時。小刻みなアクションを加えれば深場に潜むターゲットにもアピール可能。クロダイ以外にもメッキや小型回遊魚、シーバスといった多様な魚種に力を発揮してくれます。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/367,トップウォーター,エアコブラ 160,AIRACOBRA 160,#1/0,#1/0,,,,#6,Floating,ドッグウォーク/スプラッシュ,160,65,0,0,クロダイ用として大人気の「AIRACOBRA」を大型ベイト用に開発したラトル入りの160mmモデル。ドッグウォーク、スプラッシュ、ラトルの3種のアピールはボイル打ちはもちろん、レンジが下がったシーバスを誘い出します。デカラコブラで、ひと味違うビッグベイトゲームを。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/129,スピンテールジグ,SW 230V ガウル,SW 230V gaur,#10,#12,,,,#2,Sinking,テイルスピン,100,23,,,特徴的なV字スリットが入ったVブレードはレスポンスの向上と引き重りを大幅に軽減し、超低速でも滑らかな回転を見せシーバスを誘います。。そして、ボディ後方に取り付けられたパドルフィンはフックの絡みを軽減し水平姿勢の安定に貢献し、河川や港湾部の岸壁やピン打ちといった、これまでテイルスピンが苦手としていたポイントの攻略を容易しました。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/128,スピンテールジグ,SW 320V ガウル,SW 320V gaur,#10,#10,,,,#2,Sinking,テイルスピン,105,32,,,より遠くへ、より深く。SW230V gaurのウエイトアップモデル。テイルスピンの中では重量級の部類に入るモデルですが、一度投げれば軽快な使用感にその重量を忘れるほどです。沖堤や港湾部といったディープエリアでも、快適な使用感を約束してくれます。スロースピードでもしっかり回りフラッシングを放つブレードはシーバスのバイトを誘発します。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/125,メタルバイブレーション,エスパーダ 110,ESPADA 110,#8,#8,#8,,,#3,Sinking,バイブレーション,110,33,,,大型のベイトを補食している時や、ディープエリアで活躍してくれる3フック鉄板バイブ。最大の特徴は他をよせつけない圧倒的な飛距離。また誰が投げてもバランスを崩さず気持ちよく飛んでくれる飛行姿勢も強み。3つの位置のアイは狙うレンジや流速・シーバスの反応など、状況にあわせて使い分ける。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/65,リップレスミノー,エンパシー 90,Empathy 90,#5,#5,,,,#3,Sinking,可変アクション,90,17,20,60,シーバスゲームにおける基本動作である「巻く」ということに特化させたEmpathy 90。その特徴的なカップで水流を受け、タダ巻きでロール・S字・ウォブリング・千鳥とアクションを変えるマジシャンのようなルアー。多種多様な泳ぎをみせ、シーバスを魅了します。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/362,リップレスミノー,エンパシー 120,Empathy 120,#2,#2,,,,#4,Sinking,可変アクション,120,31,20,80,Empathy 90のサイズアップモデル。巻くだけで4種類の複合的なイレギュラーアクションを発生させるEmpathyシリーズの特徴はそのままに、イナッコやコノシロなど中型〜大型ベイトパターンにマッチします。やや深めのレンジを引けることからシャローエリアの中層〜ボトム攻略や、磯でも使いやすい設計に。また、幅広い巻き速度に対応し、昼夜問わずオールラウンドに使えるルアーです！,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/134,メタルジグ,GUN吉 5g,GUNKICHI 5g,6号,,,,,,Sinking,スライドフォール,41,5,,,フォール中のランダムなスライドアクションでバーチカルジギングゲームを攻略。安定した飛距離も魅力で、もちろん青物やフラットフィッシュ狙いのキャスティングゲームにも。あらゆる状況で活躍できる万能ジグです。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/135,メタルジグ,GUN吉 7g,GUNKICHI 7g,7号,,,,,,Sinking,スライドフォール,45,7,,,フォール中のランダムなスライドアクションでバーチカルジギングゲームを攻略。安定した飛距離も魅力で、もちろん青物やフラットフィッシュ狙いのキャスティングゲームにも。あらゆる状況で活躍できる万能ジグです。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/136,メタルジグ,GUN吉 12g,GUNKICHI 12g,8号,,,,,,Sinking,スライドフォール,55,12,,,フォール中のランダムなスライドアクションでバーチカルジギングゲームを攻略。安定した飛距離も魅力で、もちろん青物やフラットフィッシュ狙いのキャスティングゲームにも。あらゆる状況で活躍できる万能ジグです。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/137,メタルジグ,GUN吉 20g,GUNKICHI 20g,12号,,,,,,Sinking,スライドフォール,73,20,,,フォール中のランダムなスライドアクションでバーチカルジギングゲームを攻略。安定した飛距離も魅力で、もちろん青物やフラットフィッシュ狙いのキャスティングゲームにも。あらゆる状況で活躍できる万能ジグです。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/138,メタルジグ,GUN吉 30g,GUNKICHI 30g,13号,,,,,,Sinking,スライドフォール,80,30,,,フォール中のランダムなスライドアクションでバーチカルジギングゲームを攻略。安定した飛距離も魅力で、もちろん青物やフラットフィッシュ狙いのキャスティングゲームにも。あらゆる状況で活躍できる万能ジグです。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/139,メタルジグ,GUN吉 40g,GUNKICHI 40g,13号,,,,,,Sinking,スライドフォール,85,40,,,フォール中のランダムなスライドアクションでバーチカルジギングゲームを攻略。安定した飛距離も魅力で、もちろん青物やフラットフィッシュ狙いのキャスティングゲームにも。あらゆる状況で活躍できる万能ジグです。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/140,メタルジグ,GUN吉 50g,GUNKICHI 50g,13号,,,,,,Sinking,スライドフォール,90,50,,,フォール中のランダムなスライドアクションでバーチカルジギングゲームを攻略。安定した飛距離も魅力で、もちろん青物やフラットフィッシュ狙いのキャスティングゲームにも。あらゆる状況で活躍できる万能ジグです。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/363,メタルジグ,GUN助 20g,GUNKICHI 20g,12号,,,,,,Sinking,スライド/ローリングフォール,68,20,,,スリムロングなシルエットから繰り出す絶大な飛距離、ジグザグフォールやローリングフォールを主体とした早い沈下速度、シャクった時に繰り出す反応のよいワイドなアクションが魅力のメタルジグです。ワンピッチジャークやハイピッチジャーク等の積極的にシャクる釣りで使いやすく設計しているため、青物やシーバス狙いには特に効果絶大。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/226,メタルジグ,GUN助 30g,GUNKICHI 30g,13号,,,,,,Sinking,スライド/ローリングフォール,87.5,30,,,スリムロングなシルエットから繰り出す絶大な飛距離、ジグザグフォールやローリングフォールを主体とした早い沈下速度、シャクった時に繰り出す反応のよいワイドなアクションが魅力のメタルジグです。ワンピッチジャークやハイピッチジャーク等の積極的にシャクる釣りで使いやすく設計しているため、青物やシーバス狙いには特に効果絶大。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/227,メタルジグ,GUN助 40g,GUNSUKE 40g,13号,,,,,,Sinking,スライド/ローリングフォール,95,40,,,スリムロングなシルエットから繰り出す絶大な飛距離、ジグザグフォールやローリングフォールを主体とした早い沈下速度、シャクった時に繰り出す反応のよいワイドなアクションが魅力のメタルジグです。ワンピッチジャークやハイピッチジャーク等の積極的にシャクる釣りで使いやすく設計しているため、青物やシーバス狙いには特に効果絶大。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/228,メタルジグ,GUN助 50g,GUNSUKE 50g,13号,,,,,,Sinking,スライド/ローリングフォール,103,50,,,スリムロングなシルエットから繰り出す絶大な飛距離、ジグザグフォールやローリングフォールを主体とした早い沈下速度、シャクった時に繰り出す反応のよいワイドなアクションが魅力のメタルジグです。ワンピッチジャークやハイピッチジャーク等の積極的にシャクる釣りで使いやすく設計しているため、青物やシーバス狙いには特に効果絶大。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/364,メタルジグ,GUN蔵 20g,GUNZO 20g,12号,,,,,,Sinking,このはフォール,48,20,,,ファットなシルエットにより、ひらひらと落ちるゆっくりとした沈下速度と、巻いた時のワイドなアクションが魅力のスロージギング向きメタルジグです。ボトムを取ってからの「リフト＆フォール」やストップ＆ゴー」といったゆっくりとした使い方が適しており、サーフのフラットフィッシュや根回りでのロックフィッシュ狙いで効果てきめんです。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/229,メタルジグ,GUN蔵 30g,GUNZO 30g,13号,,,,,,Sinking,このはフォール,63.5,30,,,ファットなシルエットにより、ひらひらと落ちるゆっくりとした沈下速度と、巻いた時のワイドなアクションが魅力のスロージギング向きメタルジグです。ボトムを取ってからの「リフト＆フォール」やストップ＆ゴー」といったゆっくりとした使い方が適しており、サーフのフラットフィッシュや根回りでのロックフィッシュ狙いで効果てきめんです。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/230,メタルジグ,GUN蔵 40g,GUNZO 40g,13号,,,,,,Sinking,このはフォール,69,40,,,ファットなシルエットにより、ひらひらと落ちるゆっくりとした沈下速度と、巻いた時のワイドなアクションが魅力のスロージギング向きメタルジグです。ボトムを取ってからの「リフト＆フォール」やストップ＆ゴー」といったゆっくりとした使い方が適しており、サーフのフラットフィッシュや根回りでのロックフィッシュ狙いで効果てきめんです。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/231,メタルジグ,GUN蔵 50g,GUNZO 50g,13号,,,,,,Sinking,このはフォール,73,50,,,ファットなシルエットにより、ひらひらと落ちるゆっくりとした沈下速度と、巻いた時のワイドなアクションが魅力のスロージギング向きメタルジグです。ボトムを取ってからの「リフト＆フォール」やストップ＆ゴー」といったゆっくりとした使い方が適しており、サーフのフラットフィッシュや根回りでのロックフィッシュ狙いで効果てきめんです。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/68,フローティングミノー,魚道 110MD,Gyodo 110MD,#6,#6,#6,,,#3,Floating,ウォブンロール,110,19,150,150,元祖ヒラメ専用のミッドダイバーとして新境地を開拓し、数々の実績を叩き出した魚道 110MD。余裕のある浮力構造とリップ形状により、根掛かり回避能力とレンジキープ力に優れています。テール形状の変更によって安定した飛行姿勢を獲得し、サーフをより広く探ることができます。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/67,フローティングミノー,魚道 130MD,Gyodo 130MD,#4,#4,#4,,,#3,Floating,ウォブンロール,130,23,80,150,魚道 110MDとは対照的なローリングが強めのアクションが特徴。遠投性能と高いアピール性を備えているので、広範囲を探る時に使いたいルアーです。そのローリングアクションは、ランカー狙いのボートシーバスゲームや磯ヒラゲームにも高実績で、密かに愛用するシーバスマンも少なくありません。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/312,フローティングミノー,クオリー 105F,Qualy 105F,#5,#5,,,,#3,Floating,ウォブンロール,105,18,40,70,imaの移動重心システム「MRD」搭載アイテム第5弾。遠投性能と立ち上がりのよさを持ち合わせ、年間を通して使いやすいミノーをコンセプトに開発された「Qualy 105F」。あらゆるパターンにハマる汎用性の高いアイテムに仕上がりました。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/111,ポッパー,クープ 45,Qoop 45,#12,#12,,,,#1,Floating,ドッグウォーク,45,3,0,0,ima初のライトゲーム用ペンシルポッパー、Qoop 45。メインターゲットはメバルや小型回遊魚です。カップによるポップ音と、ボールウェイトのコトコトというラトル音により、2つの異なるサウンドを発生します！腹部にグローボールを内蔵し、常夜灯のない磯場でもルアーを視認することを可能にしました。30mmクラスの小型トッププラグでは、動きが破錠しやすい傾向があるため、操作性を考えボディは45mmに設定しました。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/58,サスペンドシャッド,K-太 38 サスペンド,K-TA 38 SUSPEND,#14,#14,,,,#1,Suspend,ウォブンロール,38,2.7,20,50,K-太シリーズの代名詞でもあるアクションを止めた瞬間の「食わせの間」を継承したライトゲーム用サスペンドシャッド。「巻いて・止めて・アクションをみせる」というK-太シリーズの基本操作は、メバル・カサゴといった根魚をはじめ、小型回遊魚にも活躍します。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/57,サスペンドシャッド,K-太 58 サスペンド,K-TA 58 SUSPEND,#10,#10,,,,#3,Suspend,ウォブンロール,58,8,10,40,K-太 77 SUSPENDの特徴であるサスペンドセッティングを継承し、58mmのひと口サイズにサイズダウン。ストップ&ゴーや連続トゥイッチからの止めで「食わせの間」を演出することで、スレた魚に口を使わせることができます。ハクや稚鮎に代表される春のマイクロベイトパターンや、港湾部などの小場所に最適です。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/56,サスペンドシャッド,K-太 77 サスペンド,K-TA 77 SUSPEND,#6,#6,,,,#3,Suspend,ウォブンロール,77,12,10,60,キャスト性能、立ち上がりの速さ、マグネット重心移動システムがその全てを高次元で実現。水平姿勢で漂うサスペンドセッティングにより、リトリーブやアクションを止めた瞬間の「食わせの間」を演出可能にしたK-太 77 SUSPEND。港湾部や小規模河川、ボートシーバスゲームなどシーバスがそこにいると思える時、そこで口を使わせたい時にこのルアーの出番。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/117,バイブレーション,コウメ 60,koume 60,#10,#10,,,,#2,Sinking,バイブレーション,60,11,60,,ミノーシェイプとカミソリのようなエッジを持ち、引き抵抗を極限まで軽減し、手元にしっかりと振動を伝えるkoumeシリーズ。スタンダードモデルは60mm・11g〜90mm・20g がラインナップ。シリーズ最小のkoume 60は小型ベイトを偏食する春先のマイクロベイトパターンに、koume 70・80は季節や場所を選ばず通年使えるオールマイティー。koume 90は大型ベイトを捕食している時や深めのレンジを探りたい時に！,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/121,バイブレーション,コウメ 60 ヘヴィー,koume 60 heavy,#10,#10,,,,#2,Sinking,バイブレーション,60,17,50,,koumeシリーズの快適な使い心地はそのままに、従来モデルよりもウエイトを大幅にアップ。これによりキャスタビリティが劇的に向上。koume 60 heavy〜80 heavyはシーバスはもちろん、ボトムトレースがキモとも言える黒鯛やフラットフィッシュ狙いにも強く、koume 90 heavyはボートゲームや沖堤防の攻略には欠かせません！,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/116,バイブレーション,コウメ 70,koume 70,#8,#8,,,,#3,Sinking,バイブレーション,70,13,70,,ミノーシェイプとカミソリのようなエッジを持ち、引き抵抗を極限まで軽減し、手元にしっかりと振動を伝えるkoumeシリーズ。スタンダードモデルは60mm・11g〜90mm・20g がラインナップ。シリーズ最小のkoume 60は小型ベイトを偏食する春先のマイクロベイトパターンに、koume 70・80は季節や場所を選ばず通年使えるオールマイティー。koume 90は大型ベイトを捕食している時や深めのレンジを探りたい時に！,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/120,バイブレーション,コウメ 70 heavy,koume 70 heavy,#8,#8,,,,#3,Sinking,バイブレーション,70,18,80,80,koumeシリーズの快適な使い心地はそのままに、従来モデルよりもウエイトを大幅にアップ。これによりキャスタビリティが劇的に向上。koume 60 heavy〜80 heavyはシーバスはもちろん、ボトムトレースがキモとも言える黒鯛やフラットフィッシュ狙いにも強く、koume 90 heavyはボートゲームや沖堤防の攻略には欠かせません！,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/115,バイブレーション,コウメ 80,koume 80,#6,#6,,,,#3,Sinking,バイブレーション,70,18,80,,ミノーシェイプとカミソリのようなエッジを持ち、引き抵抗を極限まで軽減し、手元にしっかりと振動を伝えるkoumeシリーズ。スタンダードモデルは60mm・11g〜90mm・20g がラインナップ。シリーズ最小のkoume 60は小型ベイトを偏食する春先のマイクロベイトパターンに、koume 70・80は季節や場所を選ばず通年使えるオールマイティー。koume 90は大型ベイトを捕食している時や深めのレンジを探りたい時に！,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/119,バイブレーション,コウメ 80 ヘヴィー,koume 80 heavy,#6,#6,,,,#3,Sinking,バイブレーション,80,15,80,,koumeシリーズの快適な使い心地はそのままに、従来モデルよりもウエイトを大幅にアップ。これによりキャスタビリティが劇的に向上。koume 60 heavy〜80 heavyはシーバスはもちろん、ボトムトレースがキモとも言える黒鯛やフラットフィッシュ狙いにも強く、koume 90 heavyはボートゲームや沖堤防の攻略には欠かせません！,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/114,バイブレーション,コウメ 90,koume 90,#4,#4,,,,#3,Sinking,バイブレーション,90,20,160,,ミノーシェイプとカミソリのようなエッジを持ち、引き抵抗を極限まで軽減し、手元にしっかりと振動を伝えるkoumeシリーズ。スタンダードモデルは60mm・11g〜90mm・20g がラインナップ。シリーズ最小のkoume 60は小型ベイトを偏食する春先のマイクロベイトパターンに、koume 70・80は季節や場所を選ばず通年使えるオールマイティー。koume 90は大型ベイトを捕食している時や深めのレンジを探りたい時に！,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/118,バイブレーション,コウメ 90 ヘヴィー,koume 90 heavy,#4,#4,,,,#3,Sinking,バイブレーション,90,28,150,,koumeシリーズの快適な使い心地はそのままに、従来モデルよりもウエイトを大幅にアップ。これによりキャスタビリティが劇的に向上。koume 60 heavy〜80 heavyはシーバスはもちろん、ボトムトレースがキモとも言える黒鯛やフラットフィッシュ狙いにも強く、koume 90 heavyはボートゲームや沖堤防の攻略には欠かせません！,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/50,リップレスミノー,コスケ 85F,kosuke 85F,#4,#4,,,,#3,Floating,ローリング,85,11.5,30,70,kosuke 110Fの基本性能を継承し、小型プラグのあらゆる欠点をクリアにしたモデル。85mmとは思えない抜群の飛距離は港湾部や小場所はもちろん、本来スモールプラグの出番がないオープンエリアや外洋も難なくこなします。大型の#4フックを搭載し、ランカーシーバス狙いにも使用することができる万能型スモールミノーです。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/49,リップレスミノー,コスケ 110F,kosuke 110F,#4,#4,,,,#3,Floating,ローリング,110,17,40,80,komomo、sasukeシリーズに次ぐimaのハイエンドミノー、kosukeシリーズのオリジナルモデル。シーバスが思わず口を使いたくなるローリングアクション、110mmということを忘れさせるキャスタビリティ、絶妙なレンジセッティング、そしてルアーの挙動をアングラーに伝える情報伝達力。高性能な万能ミノーはあらゆる状況で活躍します。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/52,リップレスミノー,コスケ 130F,kosuke 130F,#2,#2,,,,#4,Floating,ローリング,130,26,50,90,その汎用性と性能でシーバスゲームのニュースタンダードともなったkosukeシリーズ。なかでもオープンエリアやラフなコンディションを得意とするのがこの130mm。ワイヤー強度のアップなど内部構造を強化したことでランカーでも安心してファイトができ、攻略の幅をさらに広げてくれます。飛距離のほしい外洋や荒れた磯でのヒラスズキ狙いに。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/51,リップレスミノー,コスケ 170F,kosuke 170F,#3,#3,#3,,,#4,Floating,ローリング,170,39,30,80,大型ベイトパターン用に開発されたシリーズ最大サイズのkosuke 170F。そのサイズとは裏腹に繊細で非常になめらかなローリングアクションが魚をとりこにします。ただ巻きはもちろんのこと、ドリフトや日中のトゥイッチ、ジャークとさまざまな使い方に対応しており、豪快なビッグベイトゲームの中で手堅く魚を魅了したい時におすすめです。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/26,リップレスミノー,コモモ 85SF カウンター,komomo 85SF counter,#8,#8,,,,#3,Floating,ローリング＋ウォブリング,85,8,5,40,シリーズ最小のkomomo。汎用性の高い85mmサイズで、違和感を与えにくい細身のシルエットが特徴。アピールを抑えたアクションでkomomoらしいシャロー性能を持ち、バチやハク、イワシなどの小型のベイトを捕食するシーバスに威力を発揮します。他のkomomoと同様、SFとカウンターモデルを使い分けることでさまざまな状況で活躍します。,TRUE
,ima,https://www.ima-ams.co.jp/product/products/detail/22,リップレスミノー,コモモ 110S カウンター,komomo 110S counter,#8,#8,#8,,,#3,Slow Sinking,ローリング＋ウォブリング,110,13,30,80,komomoシリーズきってのオールラウンダー。大きくも小さくもない“ちょうどいい”サイズ感は、バチパターンからベイトパターンまで抜群の実釣性能を誇ります。125mmモデルと同様、SFよりもやや下のレンジを控えめなアクションで使うことができます。1年を通してルアーケースに入れることのできる万能なkomomoです。,TRUE
